place,url,name,note,address,description,insee,lat,lon,date,rainw_mean,tw_mean,lat_h,lon_h
Gorges du Verdon,https://www.booking.com/hotel/fr/auberge-de-baudinard.fr.html,Auberge de Baudinard sur Verdon,8.7,"37 Grand rue, 83630 Baudinard, France","L’établissement Auberge de Baudinard sur Verdon vous accueille à Baudinard, à 44 km de ce lieu d’intérêt : Agence ITER de Cadarache. Il comprend une terrasse, un restaurant, des hébergements non-fumeurs, ainsi qu'une connexion Wi-Fi gratuite.

Les hébergements comportent une armoire. La salle de bains privative propose une douche, des articles de toilette gratuits et un sèche-cheveux. Vous profiterez aussi d'une télévision à écran plat avec les chaînes du satellite.

L’établissement Auberge de Baudinard sur Verdon sert un petit-déjeuner buffet ou continental.

L'aéroport le plus proche (Aéroport de Toulon - Hyères) est à 110 km. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-11-19,6.357142857142857,8.378571428571428,43.71593,6.13405
Gorges du Verdon,https://www.booking.com/hotel/fr/b29-magnifique-studio-tres-bien-place-wifi-tv.fr.html,Superbes studios du Parc Paradis,8.7,"469 Avenue des Thermes, 04800 Gréoux-les-Bains, France","Offrant une vue sur le jardin, l’établissement Superbes studios du Parc Paradis comprend une connexion Wi-Fi gratuite et un parking privé gratuit. Il se trouve à Gréoux-les-Bains, à 23 km de ce lieu d’intérêt : Golf du Luberon.

Les hébergements disposent de la climatisation et d’une télévision à écran plat. Vous bénéficierez d’une cuisine entièrement équipée, ainsi que d’une salle de bains privative comprenant une douche et un sèche-cheveux. Un réfrigérateur, un four et un micro-ondes sont également disponibles, de même qu’une machine à café et une bouilloire.

L'aéroport le plus proche (Aéroport de Marseille Provence) est à 90 km. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-11-19,6.357142857142857,8.378571428571428,43.75801,5.89409
Gorges du Verdon,https://www.booking.com/hotel/fr/la-licorne-de-haute-provence.fr.html,Résidence Odalys La Licorne de Haute Provence,7.3,"Les Riayes, 04800 Gréoux-les-Bains, France","Située à 500 mètres du village et à 800 mètres des thermes, la Résidence Odalys La Licorne de Haute Provence se compose de 3 petits complexes. Elle comprend 3 piscines et des installations de détente.

Les appartements de l'établissement sont équipés d'une kitchenette avec des plaques de cuisson, un micro-ondes, un four et un lave-vaisselle.

Ceux aménagés au rez-de-chaussée disposent d'un jardin privé et tous les autres possèdent une terrasse individuelle.

La Résidence Odalys La Licorne de Haute Provence comporte 2 piscines extérieures et 1 piscine intérieure. Les amateurs de sports apprécieront également sa salle de sport.

Pour vous détendre, vous pourrez par ailleurs profiter du spa doté d'un jacuzzi, d'un hammam et d'un sauna. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-11-19,6.357142857142857,8.378571428571428,43.76161,5.88776
Gorges du Verdon,https://www.booking.com/hotel/fr/angouire-gite-quot-la-bergerie-quot.fr.html,Mymoustiers,8.1,"Domaine d'Angouire, 04360 Moustiers-Sainte-Marie, France","La Mymoustiers vous propose des maisons de vacances situées dans la commune de Moustiers-Sainte-Marie, au cœur d'un parc privé de 15 hectares. Le lac de Sainte-Croix et les gorges du Verdon sont à 1 km. Une connexion Wi-Fi gratuite est accessible dans ses maisons de vacances.

Vous bénéficierez d'une salle de bains privative dotée d'une baignoire ou d'une douche et d'articles de toilette gratuits. Vous admirerez une vue sur le jardin et sur les montagnes depuis les chambres. Chaque hébergement dispose d'une cuisine, mais vous pourrez utiliser la cuisine commune d'été sur la terrasse.

L'Ancienne Bergerie Angouire comporte un barbecue gratuit, un salon commun ainsi que des coins repas intérieur et extérieur. Vous pourrez pratiquer des activités variées comme des excursions dans le canyon de l’établissement, la baignade dans la mare, le prêt de vélos et la visite de champs de lavande à Valensole.

L'aéroport de Nice-Côte d’Azur se situe à 141 km et le village de Moustiers à 2 km. Le parking est par ailleurs gratuit. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-11-19,6.357142857142857,8.378571428571428,43.82922,6.22821
Gorges du Verdon,https://www.booking.com/hotel/fr/auberge-verdon.fr.html,B&B Auberge Verdon,8.5,"Auberge Verdon La Valdenay, 04120 La Palud-sur-Verdon, France","Dotée d'une terrasse bien exposée et offrant une vue sur la montagne, la chambre d'hôtes B&B Auberge Verdon est située à La Palud dans la région Provence-Alpes-Côte d'Azur, à 90 km de Fréjus, au début de la route des Crètes. Un parking privé gratuit est accessible sur place.

Les chambres comprennent une salle de bains privative avec douche.

Un salon commun est aménagé sur place.

Vous pourrez pratiquer plusieurs activités dans la région, telles que le vélo et la randonnée. Vous séjournerez à 58 km de Gréoux-les-Bains et à 89 km de Grasse. L'aéroport de Nice-Côte d'Azur, le plus proche, est quant à lui implanté à 110 km. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-11-19,6.357142857142857,8.378571428571428,43.77704,6.361
Gorges du Verdon,https://www.booking.com/hotel/fr/gite-t2-independant.fr.html,La casa Elisa Gîte T2 indépendant,9.7,"Chemin du Hameau du Plan,13 Lotissement les Hautes Rives du Verdon, 04800 Gréoux-les-Bains, France","Situé à Gréoux-les-Bains, l’hébergement La casa Elisa Gîte T2 indépendant offre une vue sur le jardin. Il possède une terrasse et une connexion Wi-Fi gratuite. Cet hébergement est installé à 17 km de : Agence ITER de Cadarache. Il propose un jardin et un parking privé gratuit.

Cette maison de vacances avec climatisation se compose de 1 chambre, d'un salon, d'une cuisine entièrement équipée avec un réfrigérateur et une machine à café, ainsi que de 1 salle de bains avec une douche et un sèche-cheveux. Des serviettes et du linge de lit sont mis à votre disposition.

Vous séjournerez à 23 km de ce lieu d’intérêt : Golf du Luberon. L'aéroport le plus proche (Aéroport de Marseille Provence) est à 80 km. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-11-19,6.357142857142857,8.378571428571428,43.75208,5.87522
Gorges du Verdon,https://www.booking.com/hotel/fr/le-colombier-moustiers-sainte-marie.fr.html,Hôtel Le Colombier,9.4,"166 Route de La Palud, 04360 Moustiers-Sainte-Marie, France","Installé à 1 km du cœur du village de Moustiers-Sainte-Marie, l’Hôtel Le Colombier n’est qu’à 5 km du lac de Sainte-Croix. Cette maison provençale dispose d'un spa, de 2 bains à remous et d'un court de tennis. Une connexion Wi-Fi gratuite est à votre disposition.

Décorées avec un mobilier de style provençal, toutes les chambres climatisées du Colombier offrent une vue panoramique sur la vallée ou les rochers de Moustiers et sont pourvues d’une télévision par satellite à écran plat.

Le Colombier met à votre disposition un parking privé gratuit et un garage pour les voitures, les vélos et les motos. Vous pourrez pratiquer plusieurs activités de loisirs dans les environs, notamment le rafting, le parapente et le canyoning. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-11-19,6.357142857142857,8.378571428571428,43.84009,6.22239
Gorges du Verdon,https://www.booking.com/hotel/fr/le-gite-du-grand-cedre.fr.html,Le gite du grand cèdre - proche des gorges du Verdon,9.4,"45 chemin de Roumpe Cuou, 04500 Allemagne-en-Provence, France","L’hébergement Le gite du grand cèdre - proche des gorges du Verdon vous accueille à Allemagne-en-Provence, à 29 km de ce lieu d’intérêt : Agence ITER de Cadarache. Il comprend un patio, un jardin et une connexion Wi-Fi gratuite. Cette maison de vacances comprend un parking privé gratuit et se trouve dans une région où vous pourrez pratiquer des activités telles que la randonnée, la pêche et le vélo.

Disposant d’une terrasse et offrant une vue sur le jardin, cette maison de vacances possède 2 chambres, un salon, une télévision à écran plat, une cuisine équipée avec un réfrigérateur et un lave-vaisselle, ainsi que 2 salles de bains avec une douche.

Vous pourrez bénéficier d’un barbecue sur place.

Vous séjournerez à respectivement 34 km et 44 km de ces lieux d’intérêt : Golf du Luberon et Golf de Digne-les-Bains. L'aéroport le plus proche (Aéroport de Marseille Provence) est à 101 km. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-11-19,6.357142857142857,8.378571428571428,43.78041,6.00644
Gorges du Verdon,https://www.booking.com/hotel/fr/chambre-d-39-hotes-les-lauriers-moustiers-sainte-marie1.fr.html,"""Les Lauriers"" chambre indépendante avec terrasse privée",9.1,"Chemin de Quinson, 04360 Moustiers-Sainte-Marie, France","La Chambre D'Hôtes ""Les Lauriers"" chambre indépendante avec terrasse privée propose un hébergement à Moustiers-Sainte-Marie.

Toutes les chambres disposent d'une télévision à écran plat. Toutes sont équipées d'une bouilloire. Les chambres comprennent une salle de bains privative.

Vous séjournerez à 28 km de Gréoux-les-Bains et à 35 km de Manosque. L'aéroport de Nice-Côte d'Azur, le plus proche, est implanté à 82 km. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-11-19,6.357142857142857,8.378571428571428,43.83864,6.21733
Gorges du Verdon,https://www.booking.com/hotel/fr/le-petit-grillo-gite-proche-du-verdon.fr.html,Gite avec terrasse privée proche des gorges du Verdon,9.4,"1229 Chemin Saint-Véran, 04500 Allemagne-en-Provence, France","Situé à Allemagne-en-Provence, l’hébergement Gite avec terrasse privée proche des gorges du Verdon offre une vue sur la montagne. Il propose un jardin, une terrasse, un casino et une connexion Wi-Fi gratuite. Cet appartement comprend un parking privé gratuit et se trouve dans une région où vous pourrez pratiquer des activités telles que la randonnée et la plongée avec tuba.

Cet appartement avec climatisation se compose de 1 chambre, d'un salon, d'une cuisine entièrement équipée avec un réfrigérateur et une machine à café, ainsi que de 1 salle de bains avec une douche et des articles de toilette gratuits. Des serviettes et du linge de lit sont disponibles.

Cet établissement dispose d’un barbecue. L’établissement Gite avec terrasse privée proche des gorges du Verdon dispose d’un parc aquatique.

Vous séjournerez à respectivement 31 km et 35 km de ces lieux d’intérêt : Agence ITER de Cadarache et Golf du Luberon. L'aéroport le plus proche (Aéroport de Marseille Provence) est à 102 km. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-11-19,6.357142857142857,8.378571428571428,43.79148,6.02613
